,Tweet ID,Tweet,Target,Stance
19,1233942494577979392,".Don’t forget Epstein didn’t kill himself....

And don’t forget the Coronavirus was created in a lab in Wuhan.

And now it’s being used as a bio-weapon to remove / murder the Chinese protestors, create a demand for a new vaccine ($), &amp; manufacture public fear to hurt the economy",Coronavirus is genetically engineered.,FAVOR
20,1233982657089794048,"How to prevent corona virus?🤔 Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc 😇 #AdoptVedicHoliPreventCorona https://t.co/ZMzns5SV88",Avocado and mint tea cures coronavirus.,NONE
21,1233905851951460352,Coronavirus has gone airborne https://t.co/q1O2Lnu3Hy,Coronavirus is genetically engineered.,NONE
22,1233972943048335360,"@USERNAME WHAT ABOUT THE ILLEGALS ENTERING W/ NO MEDICAL EXAM!THEY SLREADY BROUGH SICKNESS LIKE VENEREAS TUBERCULOSIS., CHICKEN pox Rubeola, mumps,POLIO and more! S@D DE@OCRATS ARE OK W/THAT! ILLEGALS R MORE DANGEROUS THAN THE CORONA VIRUS! WAKE UP AMERICA / ANOTHER DEMOCRAT DISTRACTION",Avocado and mint tea cures coronavirus.,NONE
23,1233920787440177152,Husband thinks the coronavirus was created by the Chinese military as a biological weapon and it accidently got out of the lab. He says he read this in one of the secret newsletters he gets. What do I do with this information? What do I do WITH HIM?,Coronavirus is genetically engineered.,AGAINST
24,1233975650836504576,"Roman Catholic authorities in #Jerusalem have instructed their priests to give communion by hand only, rather than placing the wafers on worshippers’ tongues, as precautions against the spread of the #coronavirus.

#COVID_19",Holy communion cannot be the cause of the spread of coronavirus,NONE
25,1233989061980721152,"@USERNAME A Corona virus is not the same as an influenza virus. There was no “discovery,” there is an epidemic. You should be telling people to cover their mouths when they cough and wash their hands instead of spreading dangerous misinformation.",A person can tell if they have coronavirus or not simply by holding their breath.,NONE
26,1233979594618724352,@USERNAME Frequent swimming in the beach will kill the corona virus ..It cannot survive the salty water plus the 30 C degree heat..,Coronavirus can only survive in cold temperatures.,FAVOR
27,1233987920563884032,"I don't want that crap in me either, but maybe they're using this whole ""outbreak"" to break the idea into the scene. And maybe they'll advertise the ""answer"" to the ""pandemic"" is a tech-biology interface too. 

We are free to refuse. This is downright biblical, mark of the beast.",Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,NONE
28,1233994409341018112,"Coronavirus spreads to Ecuador and the Republic of Ireland, both from passengers who flew commercial airlines – https://t.co/db8UEvoeUX 
https://t.co/H2oE3xk55P",Coronavirus can only survive in cold temperatures.,NONE
29,1233972417720180736,"@USERNAME @USERNAME If you already have the coronavirus, wearing a mask can limit the spread of contamination to others, which is why I said little. If you are not sick, the mask will provide ZERO protection. You would need a mask with a respirator.",Vitamin C can prevent coronavirus circulation.,NONE
30,1233931082095042560,"Coronavirus underperfoms it's xD vs younger people, but compensates in the elderly.",Coronavirus can only survive in cold temperatures.,NONE
31,1233984057941184512,"@USERNAME Ambroxol is a 30 year old generic cold/flu OTC remedy, sold for $9 in the UK that could mitigate coronavirus.

Study: Ambroxol for the prevention of acute upper respiratory disease
Conclusion: Helps prevent catching respiratory flu at 45 mg per day.

https://t.co/Wlkuj96gpA",Hand sanitiser sold commercially does not destroy the coronavirus.,NONE
32,1233938118836879360,@USERNAME That is gauging. The test is the exact same test as for the flu with a process cost of about .62 cents per. Coronavirus is spore based.,Coronavirus is genetically engineered.,NONE
33,1233980589549723648,There are now more new cases of the coronavirus reported each day outside China than inside the hardest hit country the world health organization said,Africans are more resistant to coronavirus.,NONE
34,1233975076019531776,"Alhamdulillah for Islam, where hygiene is also a mark of your faith❤ https://t.co/34gJK534J8",Holy communion cannot be the cause of the spread of coronavirus,NONE
35,1233981797169606656,@USERNAME So the Coronavirus can remain alive on surface areas for up to few days ! 😳😳🤔😷 @USERNAME,SARS-CoV-2 can survive for weeks on surfaces.,FAVOR
36,1233967783215542272,People think this 1981 horror novel predicted the coronavirus outbreak https://t.co/NOb0oPBEPA,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,FAVOR
37,1233936587433631744,"St David's Day ewes - https://t.co/SWG0pumrT6 Dragons, daffodils and leeks, Coronavirus, Seniors, Minis and Mums https://t.co/BL5t4goSeP",Fennel tea cures coronavirus.,NONE
38,1233905575005753344,"Coronavirus poses 'very high' global risk, the WHO warns https://t.co/sf6VsbaRS5 https://t.co/0eAR8opQQ5",Coronavirus is caused by 5G.,NONE
39,1233934052937175040,@USERNAME @USERNAME This is untrue. Hand sanitizer will absolutely kill the covid-19  virus.,Hand sanitiser sold commercially does not destroy the coronavirus.,AGAINST
40,1233963815680823296,"@USERNAME How to prevent corona virus?🤔 Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc 😇 #AdoptVedicHoliPreventCorona https://t.co/8kHgFmbzie",Fennel tea cures coronavirus.,NONE
41,1233981771374526464,"Coronavirus: is a novel virus named for the crownlike spikes that protrude from its surface, can infect both animals and people and can cause a range of respiratory illnesses from the common cold to more dangerous conditions like Severe Acute Respiratory Syndrome, or SARS.",Coronavirus can only survive in cold temperatures.,NONE
42,1233952443483992064,"Today my fam went to an Elizabeth Warren rally. Tomorrow we are going to Monster Jam. 

Gonna treat the whiplash with the neck braces I picked up stockpiling for coronavirus. 

A little activism, a little diesel. Even worked in Mexican food and ice cream.

Well-rounded weekend.",Fennel tea cures coronavirus.,NONE
43,1233945522471395328,"Just like the Spanish Flu, the #Coronavirus will spread due to Government cover-ups and incompetence. If there was more testing and quarantining now we would have a better chance of containment until a vaccine is available.",We're very close to a vaccine.,NONE
44,1233915043374411776,@USERNAME @USERNAME @USERNAME IS the Coronavirus is a bioweapon that can be activated at will and used to target and threaten governments?,Coronavirus is genetically engineered.,NONE
45,1233925723863171072,@USERNAME That's not technically true. The virus that causes COVID-19 is SARS-CoV-2. The name of the disease remains Novel (new) Coronavirus ( a family of viruses that includes SARS but also harmless microbes) 2019 ( year of emergence),The lifetime of SARS-CoV-2 is only 12 hours.,NONE
46,1233942689390809088,"Contagions, pandemics, and plagues, oh my!

From Boccaccio’s “The Decameron” to Camus’s “The Plague”, mass illness has a unique way of infiltrating the works of great writers. How will the #coronavirus be preserved in the books? https://t.co/MLxAbSVtzp",Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,NONE
47,1233920123183828992,"“Most people (not elderly, no underlying health conditions) will NOT become critically ill from Covid-19. But it has higher chance of leading to serious respiratory symptoms than seasonal flu "" …” https://t.co/a9VvfYC7Hg",COVID-19 is only as deadly as the seasonal flu.,NONE
48,1233987834123415552,Do Cleaning Products and Sanitizers Prevent Coronavirus? | Time https://t.co/CNzZUCr8Tj,Hand sanitiser sold commercially does not destroy the coronavirus.,NONE
49,1233953856905711616,Coronavirus has a 98% survival rate. The flu is more dangerous. Stop the stupidity in the American Stock Exchange https://t.co/H6j31DHMXI,Vitamin C can prevent coronavirus circulation.,NONE
50,1233959730755899392,Since RNA viruses are known to mutate extremely rapidly I wonder if there's different strains of the coronavirus circulating where some are more deadly than others due to the evolution of the virus.,Africans are more resistant to coronavirus.,NONE
51,1233926982745849856,The Coronavirus is alive for 72 hours on the surface...Lawd https://t.co/STFPiPdl1B https://t.co/tJB0dACIK7,SARS-CoV-2 can survive for weeks on surfaces.,FAVOR
52,1233952599012806656,"The RO is the ""basic reproduction number"" (how many people each sick person infects). With an RO of less than 1 a disease will die out. A typical seasonal flu has an RO of 1.2 (for every 5 people, it spreads to 6 new people). The estimated COVID-19 RO is between 1.4 and 4.",The lifetime of SARS-CoV-2 is only 12 hours.,NONE
53,1233949424856027136,"I wrote this after seeing a tweet that said over 20% of the coronavirus patients will need to be hospitalized, and the US doesn't have the infrastructure for that. 

This pandemic isn't about death tolls...it's about what happens when things stop. That's what should terrify you. https://t.co/71UnzfL6gX",Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,NONE
54,1233989874950131712,@USERNAME You poor thing you still believe it is a real virus! You should know better after voting for H.R.4998 that is on @USERNAME’ desk awaiting his signature. Remember when 230 Top Doctors and Scientists issued a health alert that 5G will substantially increase RF-EMF. Think CORONAVIRUS.,Coronavirus is caused by 5G.,FAVOR
55,1233953724025884672,"@USERNAME Save your comments, ie sharpie/weather map, Russia didn’t interfere in 2016, Russia won’t interfere in 2020, #coronavirus is not as lethal as the flu, etc. 2/2",COVID-19 is only as deadly as the seasonal flu.,FAVOR
56,1233942018264633344,"Everything you said is true plus 1 more thing. Coronavirus is not even as deadly as the flu, but the transmission is unique and could be a generally non-lethal experiment in preparation for future germ warfare. I don't trust the Chinese, the communists or the globalists at all. https://t.co/fPuSTCp9b1",Coronavirus is caused by 5G.,NONE
57,1233944017920024576,"@USERNAME According to Koontz' Wuhan-400 (the fictional virus), the virus only affects humans. Again, this proves Wuhan-400 is no similar to the real Corona virus",Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,NONE
58,1233941086696960000,Statistically speaking - you are more likely to die from being exposed to the Clintons than you are by being exposed to the corona virus.,Africans are more resistant to coronavirus.,NONE
59,1233908406844641280,Children can be affected by coronavirus..... YOOO BETT https://t.co/ugFpWM7dkb,Vitamin C can prevent coronavirus circulation.,NONE
60,1233933151682121728,"@USERNAME @USERNAME Closer to 650,000 people will die of the flu this year. The figure of 30,000 is just in the U.S.
But the flu has approximately 0.1% mortality vs 2% for COVID-19. Do the math.",COVID-19 is only as deadly as the seasonal flu.,AGAINST
61,1233933432054521856,Liars Brian Williams and Michael Moore Smear President Trump on MSNBC as Falsely Saying Coronavirus Is a Hoax https://t.co/si71G1ORTi via @USERNAME,Coronavirus is genetically engineered.,NONE
62,1233922694728556544,"@USERNAME This case has little to do with Pence. More likely someone visited a relative and did not practice good hygiene. Unless you want to lock people into their homes like China is doing, this is going to happen.

A vaccine is our best bet, and gov + private companies are well on it.",We're very close to a vaccine.,FAVOR
63,1233952147349397504,CORONAVIRUS IS JUST THE TIP OF THE ICEBERG IN THE WAR AGAINST US https://t.co/quEa4MhnUq via @USERNAME,Coronavirus is genetically engineered.,NONE
64,1233953531188699136,Coronavirus is actually a mod ting..This needs stop ASAP smh..,Coronavirus is genetically engineered.,NONE
65,1233944661074620416,"@USERNAME US Patent 10130701, granted on 20 Nov 2018.
It refers to a live, attenuated #coronavirus that may be used as a vaccine for treating and/or preventing a disease, such as infectious bronchitis, in a subject.

But yet..... here we are.",Coronavirus is genetically engineered.,FAVOR
66,1233923499296608256,"Because those at long-term care facilities are pretty much the definition of those most susceptible to #coronavirus (old, in frail health), I'd be surprised if we don't get more deaths in Washington state, where 27 possible patients have turned up at one facility. https://t.co/HzmeqLa6qh",Africans are more resistant to coronavirus.,NONE
67,1233907368527826944,"So there’s original SARS, which is a type of coronavirus. SARS infects cells through the ACE2 receptor in hosts.",Coronavirus is genetically engineered.,NONE
68,1233989835385257984,"Just think of this, if Wuhan city has 11m people, they are probably having 7k or more natural deaths every month anyway.  In the epicenter of this outbreak, assuming we are at peak mortality for this city only, WuPlague has contributed 20% more deaths than avg. It’s a lot, but...","There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",NONE
69,1233968249009774592,"Vitamin C, Zinc , Echinacea.  Prepare to make tea constantly throughout duration of coronavirus self quarantine.  I'm just taking educated guesses here.  We may all die from this, say ""la ilaha illallah"" a lot.  And take shahada on video chat even and start learning salat.",Vitamin C cures coronavirus.,FAVOR
70,1233929860776693760,https://t.co/6GqvLWQQIA PATRIOTS: POTUS urging Americans to not travel to the areas in Italy and South Korea that are most affected by the coronavirus.POTUS also directed the State Department to work with our allies in Italy and in South Korea to coordinate a medical SCREENING,Coronavirus is caused by 5G.,NONE
71,1233954538454949888,"Prediction: COVID-19 is a nothing-burger.

The mortality rate is 2%, but that counts ALL deaths against only SOME of the infected. Most infected are asymptomatic and won't have reason to be tested, so the real mortality rate may be around the same as the common flu (0.1%).",Coronavirus is genetically engineered.,NONE
72,1233914965670735872,"""The Trump team confirms all of our worst fears."" Paul Krugman

When a Pandemic Meets a Personality Cult https://t.co/2P6iv3F3o6",Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,NONE
73,1233988929617092608,"@USERNAME How to prevent corona virus?🤔 Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc 😇 #AdoptVedicHoliPreventCorona https://t.co/x8pUKDFZjW",Fennel tea cures coronavirus.,NONE
74,1233924157064171520,"Me: I'm kinda wigged out about Coronavirus. *stocks up on water, pet food, Lysol, Respiratory meds, batteries, masks, hand sanitizer* 

Elote cart: *ring ring* 

Me: https://t.co/4iC5kAYDV9",Fennel tea cures coronavirus.,NONE
75,1233966636333322240,How close are we to a vaccine for the novel coronavirus? https://t.co/IKtlCce22S,We're very close to a vaccine.,NONE
76,1233989640161378304,"Coronavirus latest updates: US, Australia and Thailand record first deaths. Two more Chinese doctors die. China contained it to two provinces, primarily. Infection rate is 3.6%. That is a new figure.  https://t.co/vU8OfOUT6y",Coronavirus is genetically engineered.,NONE
77,1233957510090018816,True or false: you can get coronavirus from drinking corona? https://t.co/vzKCtufSnk,A person can tell if they have coronavirus or not simply by holding their breath.,NONE
78,1233969560916807680,@USERNAME Does anyone else find it interesting that SARS-CoV-2 is the virus that causes the disease of COVID-19..? There are reports that the virus uses same receptors as HIV to infect. I worry more and more each day that someone crossed the common cold with HIV 😶,The lifetime of SARS-CoV-2 is only 12 hours.,NONE
79,1233918033724428288,"CONTENT NOTE: brief mention of menstruation and elimination substances from when you go to the bathroom, discussion of the environment and whatnot
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

During cold, flu, and coronavirus season, remember that antibacterial hand and body soaps are bad for:",Fennel tea cures coronavirus.,NONE
80,1233907981009457152,Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China: Summary of a Report of 72 314 Cases From the Chinese Center for Disease Control and Prevention | Global Health | JAMA | JAMA Network https://t.co/uNnMcNP8Wy,Coronavirus is caused by 5G.,NONE
81,1233947440237039616,"@USERNAME I think WHO should change its criteria of a pandemic case. If a virus or disease reaches all continents, it must be considered a pandemic, having reached a certain number of infections. What's more, this is a novel coronavirus. They should think of its risk to people's health.",Coronavirus is genetically engineered.,NONE
82,1233962782959296512,"@USERNAME The virus can survive on surfaces for a long time. It’s a genuine concern. Doctors in our country are worried about packages coming from China as well. It spreads like wildfire. It’s not racist, it’s a concern for health at this point. People should halt ordering from China.",SARS-CoV-2 can survive for weeks on surfaces.,FAVOR
83,1233986072117465088,"A brief response to coronavirus through the lenses of biblical-theology, missiology, and pastoral ministry.
https://t.co/MI0tjWZyxa",Holy communion cannot be the cause of the spread of coronavirus,NONE
84,1233920738719129600,@USERNAME Qanon  recommends drinking bleach to prevent Coronavirus   Bottoms up,Vitamin C can prevent coronavirus circulation.,NONE
85,1233918033724428288,"CONTENT NOTE: brief mention of menstruation and elimination substances from when you go to the bathroom, discussion of the environment and whatnot
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

During cold, flu, and coronavirus season, remember that antibacterial hand and body soaps are bad for:",Vitamin C cures coronavirus.,NONE
86,1233944112702861312,Coronavirus could survive up to NINE DAYS outside the body https://t.co/KWrHNAnj9U via @USERNAME,SARS-CoV-2 can survive for weeks on surfaces.,FAVOR
87,1233981249602998272,"More than 30,000 pets have been left stranded after the Chinese government sealed off Wuhan following the #coronavirus outbreak 💔 https://t.co/A7YYn4faka
#Covid_19

As many pets stranded as people? https://t.co/OUjjrwHwsa","There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",NONE
88,1233990529844686848,New Research Shows Overlap of COVID-19 With SARS and MERS https://t.co/HhquSslz5s,The lifetime of SARS-CoV-2 is only 12 hours.,NONE
89,1233950148444774400,Coronavirus Wipes $5 Trillion Off Global Stocks As It Spreads To New Countries https://t.co/LqMWu9FBFC,Coronavirus is caused by 5G.,NONE
90,1233946902024118272,@USERNAME I understand Israel will have a vaccine for coronavirus in a few weeks.,We're very close to a vaccine.,FAVOR
91,1233989432061153280,Israel says COVID-19 vaccine is only weeks away https://t.co/yH11PB9qt8 via @USERNAME,The lifetime of SARS-CoV-2 is only 12 hours.,NONE
92,1233936801053601792,"I saw Costco trending. Something about everyone being at panic for supplies for the coronavirus. I work at Costco just so you now. They said toilet paper, some food, water bottles being, and Clorox wipes being sold out",Fennel tea cures coronavirus.,NONE
93,1233959483354697728,"…
(Today, February 29, the first infected person in Niigata City has been confirmed.
A report of the outbreak of a novel coronavirus pseudo-similar patient was submitted to the Niigata City Public Health Center from a returnee / contact person in Niigata City, and the patient …",Coronavirus is caused by 5G.,NONE
94,1233913312586403840,"@USERNAME @USERNAME @USERNAME @USERNAME ""...coronavirus infections most often occur during the winter months and early spring. ...coronavirus and may catch the same one about 4 months later.
This is because coronavirus antibodies do not last for a long time."" 

So.  We are doomed. 

https://t.co/GEtXXGZb1C",SARS-CoV-2 can survive for weeks on surfaces.,NONE
95,1233908993820708864,"@USERNAME The Bill and Melinda Gates Foundation has already contributed $100 million toward the fight to contain the outbreak. In his op-ed, Gates said warding off a pandemic would require billions of dollars.",Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,NONE
96,1233906746646843392,"just bought 20kgs of rice and pasta, 60 cans of tuna, 3 bottles of voddy and bare canned vegetables, coronavirus ain’t taking me 🤓🤓🤓",Avocado and mint tea cures coronavirus.,NONE
97,1233945417135480832,https://t.co/MHaVV4wsog - Singapore's contribution to the Covid-19 detection kits,Coronavirus is genetically engineered.,NONE
98,1233984416361390080,"2/5 Due to the CPC's penchant for vanity, corruption and secrecy, the COVID-19 outbreak in the PRC is more destructive than it would have been if the CPC had focused on the welfare of its people.",Coronavirus is genetically engineered.,NONE
99,1233963815680823296,"@USERNAME How to prevent corona virus?🤔 Use cowdung cakes for Holika dahan, &amp; celebrate Vedic Holi inspired by Sant Shri Asharamji Bapu. You can easily make herbal colors at home using Palash, Turmeric etc 😇 #AdoptVedicHoliPreventCorona https://t.co/8kHgFmbzie",Avocado and mint tea cures coronavirus.,NONE
100,1233932057727918080,"Israel says COVID-19 vaccine is only weeks away.
https://t.co/MKfApUJqmr",The lifetime of SARS-CoV-2 is only 12 hours.,NONE
101,1233994747880099840,"Coronavirus Dr gave cough meds. Self treated with homeopathy, mono lauren, oregano oil, high dose vitamin C. Washed floors with hydrogen peroxide &amp; water. Sprayed everything down with rubbing alcohol. Flu is man made every year given to people in flu shot. They become carriers.",Fennel tea cures coronavirus.,NONE
102,1233981854073663488,"@USERNAME 1/2 - Hi Amanda, glad to healthy water supply is back up to full pressure. I don't believe we are testing for coronavirus. It has been confirmed by the NHS that this type of virus can-not live outside of the body for very long, so it wouldn't be able to survive in tap water.",SARS-CoV-2 can survive for weeks on surfaces.,AGAINST
103,1233934828229341184,COVID-19 Coronavirus: A Fake Pandemic? Who’s Behind It? Global Economic and Geopolitical Destabilization https://t.co/NMIZsWsC2Y via @USERNAME,Coronavirus is genetically engineered.,NONE
104,1233975880222826496,"@USERNAME @USERNAME It's known to be transmitted thru respiratory droplets (IOW, from sneezes &amp; coughs.) Researchers still have yet to determine whether COVID19 can survive on hard surfaces &amp; if so, how long - other, apparently similar coronavirus can survive up to 9 days

https://t.co/DvJsiZwyw5 https://t.co/X7B3TUXA1k",SARS-CoV-2 can survive for weeks on surfaces.,NONE
105,1233924693469495296,"""As fears about the coronavirus spread, at least one historian is worried the Trump administration is failing to heed the lesson of one of the world’s worst pandemics: Don’t hide the truth.""

https://t.co/5NehmgiXIM",Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,NONE
106,1233983750117056512,@USERNAME Biden for the beer win. Corona virus can be stopped by stop drinking corona beer. LOL.,Holy communion cannot be the cause of the spread of coronavirus,NONE
107,1233939659329286144,"The Hong Kong government says it has been contacted by about 3,000 Hong Kong people in mainland China's Hubei province including 532 people in Wuhan city seeking help it says those affected on Hubei need to register by February 28th in order to return to Hong Kong","There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",NONE
108,1233983234314264576,"@USERNAME Congratulations to Trump!!! Coronavirus is a bio-weapon, you were put in this time and place to lead, please do. https://t.co/zYM0Xw4tyh",Coronavirus is genetically engineered.,NONE
109,1233961425216950272,"Coronavirus shuts down 2 West Coast schools. Experts aren’t certain how long the coronavirus can live outside the body, Ko said, though its cousins — SARS and MERs — can survive on surfaces up to nine days. https://t.co/yJiqlMtSA2",SARS-CoV-2 can survive for weeks on surfaces.,NONE
110,1233932480408956928,The corona virus is a government made virus that is being used for population control.,Coronavirus is genetically engineered.,FAVOR
111,1233956595165487104,"Bernie Sanders, Mike Bloomberg and Other Democrats Falsely Accuse Trump of Calling the Coronavirus a Hoax https://t.co/Lf1oO00Kgd via @USERNAME

It’s more of a BIO- WEAPON than a hoax..",Coronavirus is genetically engineered.,NONE
112,1233971884095672320,"My daughter, who is immune-compromised, bought a hand sanitizer she can clip it to her backpack because of the coronavirus fears. I’m going to start panic-buying so we have enough in the event of a self-quarantine, BUT HATE THIS. I don’t want 2 know what this does to T1D patients",Hand sanitiser sold commercially does not destroy the coronavirus.,NONE
113,1233922367258271744,WHO increases COVID-19 threat assessment to highest level https://t.co/8V9zGGtNVH via @USERNAME,Coronavirus is genetically engineered.,NONE
114,1233973870614470656,@USERNAME @USERNAME My face when I stockpiled coffee and tobacco prior to the coronavirus economic collapse https://t.co/li3U1WmvYe,Avocado and mint tea cures coronavirus.,NONE
115,1233911295415640064,"Coronavirus has killed one person in America. One. A woman with health issues. In her 50s. 

The flu kills 6300 in the US just like her each year. And not one of them makes the news.",Coronavirus is genetically engineered.,NONE
116,1233927471575261184,People infected with coronavirus may have no symptoms at all. That's why the virus is so hard to stop. https://t.co/55VdAHpvbH,Coronavirus is caused by 5G.,NONE
117,1233930733724618752,Coronavirus May Lead to 'Mass Homeschooling' https://t.co/9QipwRfPXJ https://t.co/lDelh8Dd39,Coronavirus is caused by 5G.,NONE
118,1233963604069609472,"@USERNAME @USERNAME
@USERNAME @USERNAME @USERNAME
From GP friend, #COVID2019 may survive &lt;= 7 days on a hard surface.

Coincidentally, tells me wart virus can withstand cold from liquid nitrogen... 

Hypothetically, seems that COVID-19 may be able to travel by air mail https://t.co/h349h3Uvnl",SARS-CoV-2 can survive for weeks on surfaces.,FAVOR
119,1233936587433631744,"St David's Day ewes - https://t.co/SWG0pumrT6 Dragons, daffodils and leeks, Coronavirus, Seniors, Minis and Mums https://t.co/BL5t4goSeP",Avocado and mint tea cures coronavirus.,NONE
120,1233957215016562688,"LIVE FROM HONG KONG: To Date in 2020, Influenza (the Flu) Accounts for More Than 50 Times the Number of Deaths as the Coronavirus in Hong Kong https://t.co/4lNlJUt30u via @USERNAME","There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",NONE
121,1233913701180280832,"How to survive coronavirus:
1. Wash the fuck out of your hands
2. Hoard Gatorade
3. Watch the news endlessly until you’ve shit yourself with fear. 
4.  Buy a year’s supply of hand sanitizer, Clorox wipes, surgical gloves, and wine 
5. Never leave the house again",Fennel tea cures coronavirus.,NONE
122,1233972079726219264,Who is vulnerable to coronavirus? So far children appear safe from COVID-19 https://t.co/ngAtx7rjoK,Africans are more resistant to coronavirus.,NONE
123,1233912279705378816,@USERNAME @USERNAME @USERNAME corona virus is the result of a CHICOM biowar cockup.,Coronavirus is genetically engineered.,FAVOR
